NORAD_CAT_ID,OBJECT_NAME,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,TLE_LINE1,TLE_LINE2
48458,STARLINK-2698,2026-03-05T01:38:32.929152,15.31023310,0.00009668,53.1588,200.2843,91.2560,268.8552,1 48458U 21040AG  26064.06843668 -.00001539  00000-0 -38745-4 0  9996,2 48458  53.1588 200.2843 0000967  91.2560 268.8552 15.31023310266688
48458,STARLINK-2698,2026-03-05T14:10:33.471552,15.31036433,0.00011877,53.1607,197.8555,82.4590,277.6546,1 48458U 21040AG  26064.59066518  .00001215  00000-0  51895-4 0  9995,2 48458  53.1607 197.8555 0001188  82.4590 277.6546 15.31036433266762
48458,STARLINK-2698,2026-03-05T14:10:33.471552,15.31036433,0.00011880,53.1607,197.8555,82.4590,277.6546,1 48458U 21040AG  26064.59066518  .00001215  00000-0  51895-4 0  9995,2 48458  53.1607 197.8555 0001188  82.4590 277.6546 15.31036433266762
48458,STARLINK-2698,2026-03-06T15:14:35.359872,15.31031779,0.00016073,53.1631,192.9982,90.9254,269.1931,1 48458U 21040AG  26065.63513148  .00002994  00000-0  11041-3 0  9990,2 48458  53.1631 192.9982 0001607  90.9254 269.1931 15.31031779266926
48458,STARLINK-2698,2026-03-07T11:36:36.793152,15.31030419,0.00014100,53.1621,189.0499,85.5163,274.5999,1 48458U 21040AG  26066.48375918  .00005961  00000-0  20790-3 0  9993,2 48458  53.1621 189.0499 0001410  85.5163 274.5999 15.31030419267055
48458,STARLINK-2698,2026-03-07T14:44:35.580480,15.31053087,0.00013219,53.1625,188.4427,86.6207,273.4945,1 48458U 21040AG  26066.61430070  .00002616  00000-0  97915-4 0  9997,2 48458  53.1625 188.4427 0001322  86.6207 273.4945 15.31053087267073
48458,STARLINK-2698,2026-03-07T14:44:35.580480,15.31053087,0.00013220,53.1625,188.4427,86.6207,273.4945,1 48458U 21040AG  26066.61430070  .00002616  00000-0  97915-4 0  9997,2 48458  53.1625 188.4427 0001322  86.6207 273.4945 15.31053087267073
48458,STARLINK-2698,2026-03-08T12:40:38.068032,15.31033308,0.00013790,53.1625,184.1937,94.5145,265.6014,1 48458U 21040AG  26067.52821838  .00001019  00000-0  45459-4 0  9996,2 48458  53.1625 184.1937 0001379  94.5145 265.6014 15.31033308267213
48458,STARLINK-2698,2026-03-08T14:14:38.265216,15.31032094,0.00013257,53.1618,183.8899,89.0383,271.0770,1 48458U 21040AG  26067.59349844  .00000867  00000-0  40447-4 0  9997,2 48458  53.1618 183.8899 0001326  89.0383 271.0770 15.31032094267225
48458,STARLINK-2698,2026-03-08T22:04:53.253120,15.30848394,0.00008258,53.1624,182.3732,77.5057,282.6037,1 48458U 21040AG  26067.92006080 -.00023023  00000-0 -75224-3 0  9997,2 48458  53.1624 182.3732 0000826  77.5057 282.6037 15.30848394267272
48458,STARLINK-2698,2026-03-09T12:11:15.074304,15.30524403,0.00015980,53.1629,179.6450,55.7745,304.3407,1 48458U 21040AG  26068.50781336 -.00089841  00000-0 -30271-2 0  9998,2 48458  53.1629 179.6450 0001598  55.7745 304.3407 15.30524403267367
48458,STARLINK-2698,2026-03-09T13:45:18.039744,15.30496165,0.00013885,53.1606,179.3378,68.9532,291.1617,1 48458U 21040AG  26068.57312546 -.00093133  00000-0 -31426-2 0  9990,2 48458  53.1606 179.3378 0001389  68.9532 291.1617 15.30496165267376
48458,STARLINK-2698,2026-03-09T13:45:18.039744,15.30496165,0.00013890,53.1606,179.3378,68.9532,291.1617,1 48458U 21040AG  26068.57312546 -.00093133  00000-0 -31426-2 0  9990,2 48458  53.1606 179.3378 0001389  68.9532 291.1617 15.30496165267376
48458,STARLINK-2698,2026-03-10T06:59:52.543968,15.30457524,0.00013391,53.1617,176.0020,100.8967,259.2185,1 48458U 21040AG  26069.29158037 -.00054754  00000-0 -18354-2 0  9994,2 48458  53.1617 176.0020 0001339 100.8967 259.2185 15.30457524267482
48458,STARLINK-2698,2026-03-10T13:16:02.527392,15.30436414,0.00011460,53.1601,174.7887,71.6258,288.4867,1 48458U 21040AG  26069.55280703 -.00053151  00000-0 -17821-2 0  9997,2 48458  53.1601 174.7887 0001146  71.6258 288.4867 15.30436414267526
48458,STARLINK-2698,2026-03-10T21:06:14.785920,15.30416780,0.00011220,53.1607,173.2707,88.7854,271.3275,1 48458U 21040AG  26069.87933780 -.00049523  00000-0 -16598-2 0  9990,2 48458  53.1607 173.2707 0001122  88.7854 271.3275 15.30416780267575
48458,STARLINK-2698,2026-03-10T22:40:17.676192,15.30414808,0.00012383,53.1613,172.9679,72.4895,287.6242,1 48458U 21040AG  26069.94464903 -.00048287  00000-0 -16179-2 0  9995,2 48458  53.1613 172.9679 0001238  72.4895 287.6242 15.30414808267583
48458,STARLINK-2698,2026-03-10T22:40:17.676192,15.30414808,0.00012380,53.1613,172.9679,72.4895,287.6242,1 48458U 21040AG  26069.94464903 -.00048287  00000-0 -16179-2 0  9995,2 48458  53.1613 172.9679 0001238  72.4895 287.6242 15.30414808267583
48458,STARLINK-2698,2026-03-11T06:30:34.659936,15.30286351,0.00009584,53.1604,171.4494,102.5216,257.5892,1 48458U 21040AG  26070.27123449 -.00019024  00000-0 -63014-3 0  9998,2 48458  53.1604 171.4494 0000958 102.5216 257.5892 15.30286351267635
48458,STARLINK-2698,2026-03-11T11:12:46.391904,15.30199335,0.00011480,53.1602,170.5406,89.3882,270.7250,1 48458U 21040AG  26070.46720361  .00003552  00000-0  13199-3 0  9991,2 48458  53.1602 170.5406 0001148  89.3882 270.7250 15.30199335267662
48458,STARLINK-2698,2026-03-11T20:00:01.999008,15.30195498,0.00014760,53.1591,168.8400,79.6189,138.6255,1 48458U 21040AG  26070.83335647  .00013538  00000-0  46844-3 0  9999,2 48458  53.1591 168.8400 0001476  79.6189 138.6255 15.30195498  5897
48458,STARLINK-2698,2026-03-12T00:00:01.999296,15.30187335,0.00013760,53.1593,168.0649,98.2532,318.6352,1 48458U 21040AG  26071.00002314  .00016746  00000-0  57645-3 0  9996,2 48458  53.1593 168.0649 0001376  98.2532 318.6352 15.30187335  5927
48458,STARLINK-2698,2026-03-12T00:00:02.000160,15.30187336,0.00013761,53.1593,168.0649,98.2532,318.6352,1 48458U 21040AG  26071.00002315  .00016746  00000-0  57645-3 0  9997,2 48458  53.1593 168.0649 0001376  98.2532 318.6352 15.30187336  5928
48458,STARLINK-2698,2026-03-12T06:01:25.181760,15.30197540,0.00010964,53.1601,166.8994,87.5657,272.5469,1 48458U 21040AG  26071.25098590  .00001586  00000-0  65672-4 0  9990,2 48458  53.1601 166.8994 0001096  87.5657 272.5469 15.30197540267784
48458,STARLINK-2698,2026-03-12T13:51:40.521312,15.30208238,0.00012930,53.1606,165.3823,107.6156,252.4986,1 48458U 21040AG  26071.57755233  .00002653  00000-0  10165-3 0  9991,2 48458  53.1606 165.3823 0001293 107.6156 252.4986 15.30208238267835
48458,STARLINK-2698,2026-03-12T13:51:40.522176,15.30208238,0.00012926,53.1606,165.3823,107.6156,252.4986,1 48458U 21040AG  26071.57755234  .00002653  00000-0  10165-3 0  9992,2 48458  53.1606 165.3823 0001293 107.6156 252.4986 15.30208238267835
48458,STARLINK-2698,2026-03-13T07:06:16.204896,15.30195443,0.00022122,53.1599,162.0493,56.9422,303.1791,1 48458U 21040AG  26072.29602089 -.00001839  00000-0 -49962-4 0  9996,2 48458  53.1599 162.0493 0002212  56.9422 303.1791 15.30195443267940
48458,STARLINK-2698,2026-03-14T12:52:55.594848,15.30655811,0.00027031,53.1591,156.2788,69.2785,290.8506,1 48458U 21040AG  26073.53675457  .00107038  00000-0  35242-2 0  9993,2 48458  53.1591 156.2788 0002703  69.2785 290.8506 15.30655811268136
48458,STARLINK-2698,2026-03-15T15:32:11.504832,15.30165300,0.00028839,53.1587,151.1242,115.1036,245.0265,1 48458U 21040AG  26074.64735538 -.00005424  00000-0 -17125-3 0  9992,2 48458  53.1587 151.1242 0002884 115.1036 245.0265 15.30165300268302
48458,STARLINK-2698,2026-03-15T21:48:20.072160,15.30321998,0.00018833,53.1584,149.9102,135.2380,224.8773,1 48458U 21040AG  26074.90856565 -.00091513  00000-0 -31037-2 0  9996,2 48458  53.1584 149.9102 0001883 135.2380 224.8773 15.30321998268342
48458,STARLINK-2698,2026-03-16T13:28:57.143136,15.30184074,0.00010821,53.1581,146.8767,112.4914,247.6202,1 48458U 21040AG  26075.56177249 -.00004604  00000-0 -14349-3 0  9997,2 48458  53.1581 146.8767 0001082 112.4914 247.6202 15.30184074268446
