analysis_split,freshness_bin,geometry_dimension,geometry_level,metric,n,median,p90
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47844,abs_delta_k_orbit_hz_per_s,12,2.0488356614982823,5.01588712325114
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48111,raw_rms_hz,12,176.45591865518244,559.9250787794919
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48111,score_orbit_hz,12,4.285980471147169,30.41772665148309
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48111,abs_delta_k_orbit_hz_per_s,12,1.3207993164950116,2.7970724230503556
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48309,raw_rms_hz,13,227.61497690785455,698.6299931504429
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48309,score_orbit_hz,13,7.8471312340102894,49.25707229937825
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48309,abs_delta_k_orbit_hz_per_s,13,1.515425543076522,4.297607822206401
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48458,raw_rms_hz,12,130.0384172507934,680.6407529033236
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48458,score_orbit_hz,12,6.852647897639011,21.127750565840373
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48458,abs_delta_k_orbit_hz_per_s,12,1.6803749228708966,3.87558345868309
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48672,raw_rms_hz,12,139.6165660985174,611.2499461282802
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48672,score_orbit_hz,12,6.597758246948546,48.673454926313056
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,48672,abs_delta_k_orbit_hz_per_s,12,1.4025720060218398,5.282946487317829
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,58380,raw_rms_hz,12,66.01398845328332,973.4182679606943
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,58380,score_orbit_hz,12,6.654076129293968,76.98055006729768
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,58380,abs_delta_k_orbit_hz_per_s,12,1.285444683173799,5.76651912482437
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,60265,raw_rms_hz,12,280.1546224755758,578.5775496120434
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,60265,score_orbit_hz,12,7.894150016061854,43.282470913000715
