experiment_family,orbit_unit_id,A_id,A_name,B_class,B_identity_or_perturbation_definition,segment_or_pass_id,evaluation_time,selected_causal_A_GP_ID,selected_causal_A_GP_EPOCH,selected_causal_A_GP_CREATION_DATE,A_causal_GP_reconstructable,B_reconstructable,randomness_reconstructable,primary_or_sensitivity_role,include_in_R3,exclusion_reason,selection_uses_causal_A_result,selection_rule,A_reconstruction_rule,B_reconstruction_rule,planned_primary_realization_rows,planned_endpoint_rows,planned_diagnostic_rows,planned_sensitivity_rows_available_not_in_core_R3
active_compensation_first_pass,orbit_unit_646381ba6560626f48b826dc,48309,STARLINK-2517,REAL_B,47767,full_pass:48309,2026-03-10T01:24:47Z,315394250,2026-03-09T20:00:00.999360Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_64c5097c818311925e9950d7,65421,STARLINK-35146,REAL_B,65686,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_6630379bd913beedd5ed9470,65686,STARLINK-35137,REAL_B,65407,full_pass:65686,2026-03-10T13:17:56.500000Z,315485957,2026-03-10T00:29:40.547616Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_68879fa99e83c2c638c2c728,44714,STARLINK-1008,REAL_B,47749,full_pass:44714,2026-03-10T02:36:50.500000Z,315393241,2026-03-09T13:49:15.828096Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_69a1eb332e06845a25e2d6cf,47383,STARLINK-2103,REAL_B,65407,full_pass:47383,2026-03-10T15:51:15Z,315494855,2026-03-10T06:10:56.016192Z,2026-03-10T15:47:10Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_69c804b856ce14aad06ee6a1,65410,STARLINK-35024,REAL_B,48672,full_pass:65410,2026-03-10T06:43:17.500000Z,315434688,2026-03-09T16:20:35.643840Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_6c5c88f16c89481a6dfa1536,44714,STARLINK-1008,REAL_B,65686,full_pass:44714,2026-03-10T02:36:50.500000Z,315393241,2026-03-09T13:49:15.828096Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_6dcb3e7485d87c6d16eec63a,65686,STARLINK-35137,REAL_B,65410,full_pass:65686,2026-03-10T13:17:56.500000Z,315485957,2026-03-10T00:29:40.547616Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_6df9d53c34d26e36a8427c25,48309,STARLINK-2517,REAL_B,47749,full_pass:48309,2026-03-10T01:24:47Z,315394250,2026-03-09T20:00:00.999360Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_763b452d140e055841420cdd,65421,STARLINK-35146,REAL_B,65407,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
