satellite_norad_id,month,freshness_bin,satellite_name,analysis_role,segment_units,selected_passes,min_age_h,median_age_h,max_age_h,support_status
48309,2026-04,18-24 h,STARLINK-2517,EXPLORATORY,6,2,19.276152782222223,19.311204600000003,19.34014530666667,AVAILABLE
48309,2026-04,24-36 h,STARLINK-2517,EXPLORATORY,0,0,,,,LIMITED_SUPPORT
48309,2026-05,0-6 h,STARLINK-2517,EXPLORATORY,7,3,2.0667689155555555,3.6763408177777777,5.071464648888889,AVAILABLE
48309,2026-05,6-9 h,STARLINK-2517,EXPLORATORY,6,2,6.642297982222222,7.488686871111111,8.33368687111111,AVAILABLE
48309,2026-05,9-12 h,STARLINK-2517,EXPLORATORY,6,2,9.906464648888889,10.581906768888889,11.274848888888888,AVAILABLE
48309,2026-05,12-18 h,STARLINK-2517,EXPLORATORY,6,2,14.35871592888889,15.197743706666667,16.04343815111111,AVAILABLE
48309,2026-05,18-24 h,STARLINK-2517,EXPLORATORY,5,2,19.245382595555554,19.305104817777774,20.895104817777774,AVAILABLE
48309,2026-05,24-36 h,STARLINK-2517,EXPLORATORY,6,2,33.16404017777778,33.99570684444444,34.842373511111106,AVAILABLE
48309,2026-06,0-6 h,STARLINK-2517,CONFIRMATORY,6,2,3.402146053333333,4.244646053333334,5.09131272,AVAILABLE
48309,2026-06,6-9 h,STARLINK-2517,CONFIRMATORY,6,2,6.677422808888889,7.5239505866666665,8.363256142222221,AVAILABLE
48309,2026-06,9-12 h,STARLINK-2517,CONFIRMATORY,6,2,9.64651528,10.472348613333333,11.319293057777777,AVAILABLE
48309,2026-06,12-18 h,STARLINK-2517,CONFIRMATORY,6,2,12.889570835555554,13.737209724444444,14.584570835555555,AVAILABLE
48309,2026-06,18-24 h,STARLINK-2517,CONFIRMATORY,6,2,19.201685804444445,19.26448290222222,19.323946666666668,AVAILABLE
48309,2026-06,24-36 h,STARLINK-2517,CONFIRMATORY,6,2,33.15790416888889,33.98012639111111,34.827348613333335,AVAILABLE
45230,2026-04,0-6 h,STARLINK-1227,EXPLORATORY,6,2,4.999310186666667,5.033910768888889,5.0687891288888896,AVAILABLE
45230,2026-04,6-9 h,STARLINK-1227,EXPLORATORY,6,2,6.608028124444444,7.449833679999999,8.290528124444444,AVAILABLE
45230,2026-04,9-12 h,STARLINK-1227,EXPLORATORY,6,2,9.60268816888889,10.418104835555557,11.261021502222222,AVAILABLE
45230,2026-04,12-18 h,STARLINK-1227,EXPLORATORY,6,2,12.730785875555554,13.558424764444444,14.40023032,AVAILABLE
45230,2026-04,18-24 h,STARLINK-1227,EXPLORATORY,6,2,19.205032746666664,19.233186968888887,19.258841191111113,AVAILABLE
45230,2026-04,24-36 h,STARLINK-1227,EXPLORATORY,3,1,26.761844684444444,26.789066906666665,26.816566906666665,AVAILABLE
45230,2026-05,0-6 h,STARLINK-1227,EXPLORATORY,6,2,2.050525528888889,2.7319700666666664,3.426747937777778,AVAILABLE
45230,2026-05,6-9 h,STARLINK-1227,EXPLORATORY,6,2,8.219332044444444,8.260927697777777,8.300023351111111,AVAILABLE
45230,2026-05,9-12 h,STARLINK-1227,EXPLORATORY,6,2,9.584015875555556,9.729590626666667,9.878220933333333,AVAILABLE
45230,2026-05,12-18 h,STARLINK-1227,EXPLORATORY,6,2,16.017438097777777,16.858826986666667,17.667993653333333,AVAILABLE
45230,2026-05,18-24 h,STARLINK-1227,EXPLORATORY,6,2,19.09574583111111,19.162703475555553,19.21577223111111,AVAILABLE
45230,2026-05,24-36 h,STARLINK-1227,EXPLORATORY,6,2,25.321328417777774,26.160078417777775,26.980217306666663,AVAILABLE
45230,2026-06,0-6 h,STARLINK-1227,CONFIRMATORY,3,1,4.987834711111111,5.016445822222222,5.045334711111111,AVAILABLE
45230,2026-06,6-9 h,STARLINK-1227,CONFIRMATORY,6,2,6.619217031111111,7.445430506666666,8.268866204444445,AVAILABLE
45230,2026-06,9-12 h,STARLINK-1227,CONFIRMATORY,6,2,9.818665315555556,9.842338426666668,9.854421760000001,AVAILABLE
45230,2026-06,12-18 h,STARLINK-1227,CONFIRMATORY,6,2,12.696266959999999,13.528072515555555,14.365433626666666,AVAILABLE
45230,2026-06,18-24 h,STARLINK-1227,CONFIRMATORY,6,2,19.02015185777778,19.1255704,19.180988942222225,AVAILABLE
45230,2026-06,24-36 h,STARLINK-1227,CONFIRMATORY,6,2,26.671702346666667,27.502813457777776,28.34003568,AVAILABLE
47844,2026-04,0-6 h,STARLINK-2446,EXPLORATORY,6,2,3.384097431111111,4.221529271111111,5.069794444444444,AVAILABLE
47844,2026-04,6-9 h,STARLINK-2446,EXPLORATORY,6,2,6.640627777777778,7.4870166666666655,8.332294444444443,AVAILABLE
47844,2026-04,9-12 h,STARLINK-2446,EXPLORATORY,6,2,9.904794444444445,10.605652275555556,11.33095455111111,AVAILABLE
